Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LTC,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,Status
1103,Purchase,Residential,2,80.00%,26.67%,50.00%,13.00%,866.67,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A,10,1
1104,Refinance,Residential,1,28.57%,0.00%,50.00%,13.00%,4333.33,2.00%,0.00%,Suburban,Hign,Stabilized,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,A-,11,5
1105,Purchase,Residential,1,68.29%,0.00%,80.00%,13.00%,1516.67,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,3,1
1106,Purchase,Residential,1,58.95%,0.00%,70.00%,9.50%,4433.33,2.00%,0.50%,Urban,Low,Stabilized,No,700-759,Good,< $10 Million,Experienced,A-,12,1
1107,Purchase,Residential,1,78.22%,68.50%,83.85%,9.00%,2902.5,2.00%,0.25%,Urban,Low,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,A-,13,1
1108,Purchase,Commercial,1,11.54%,75.47%,92.12%,11.00%,18333.33,0.10%,1.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Moderate Experience,A-,12,2
1109,Purchase,Mixed Use,9,62.77%,66.45%,78.06%,10.00%,12541.67,1.00%,0.50%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Experienced,A-,12,1
1110,Refinance,Multi-Family,7,74.93%,74.93%,1762.09%,8.75%,9829.17,2.00%,0.00%,Suburban,Hign,Stabilized,Yes,680-699,High Acceptable,$41-100 Million,Experienced,A,9,7
1111,Refinance,Land,0,68.75%,59.15%,80.77%,13.00%,2275,3.00%,2.00%,Urban,Low,Ground Up,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
1112,Refinance,Multi-Family,8,74.17%,0.00%,0.00%,13.00%,12133.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,6,1
1113,Purchase,Residential,1,69.88%,0.00%,58.00%,9.25%,894.17,2.41%,0.25%,Suburban,Low,Stabilized,No,760-850,Excellent,< $10 Million,New to Market/Phase,B+,14,1
1114,Purchase,Residential,1,75.51%,66.38%,75.88%,9.75%,1893.13,2.50%,0.00%,Urban,Low,Value-Add,No,760-850,Excellent,< $10 Million,New to Market/Phase,B+,14,1
1115,Refinance,Land,0,35.71%,36.14%,45.83%,12.00%,15000,2.50%,2.00%,Suburban,Low,Ground Up,Yes,760-850,Excellent,< $10 Million,Experienced,A,11,1
1116,Purchase,Multi-Family,50,71.74%,71.74%,75.00%,8.25%,11343.75,1.25%,0.00%,Suburban,Hign,Stabilized,No,700-759,Good,< $10 Million,Moderate Experience,A,11,1
1117,Refinance,Residential,1,70.32%,0.00%,86.51%,8.00%,726.67,2.00%,0.00%,Urban,Hign,Stabilized,Yes,760-850,Excellent,< $10 Million,No Experience,A-,12,1
1118,Refinance(CEMA),Multi-Family,8,70.00%,47.42%,75.42%,12.00%,3130,2.00%,2.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
1119,Purchase,Residential,4,74.97%,67.82%,72.25%,9.00%,5595,1.00%,0.00%,Urban,Moderate,Value-Add,Yes,680-699,High Acceptable,$41-100 Million,Very Experienced,A,9,1
1120,Purchase,Residential,2,74.91%,67.54%,71.03%,10.00%,3433.33,1.25%,0.50%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,A-,13,10
1121,Refinance,Mixed Use,8,74.88%,66.92%,79.53%,9.25%,13797.92,1.25%,0.50%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A,9,10
1122,Purchase,Residential,1,80.00%,66.96%,78.06%,9.25%,2967.71,1.25%,0.25%,Urban,Hign,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A,8,1
1123,Purchase,Residential,4,70.37%,67.20%,82.31%,10.00%,7000,1.00%,0.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Very Experienced,A,11,1
1124,Purchase,Residential,1,75.30%,66.23%,83.22%,8.50%,3917.08,0.55%,0.00%,Suburban,Moderate,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,B+,14,5
1125,Purchase,Residential,1,60.47%,61.33%,79.88%,10.00%,1150,3.00%,0.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,New to Market/Phase,B,16,1
1126,Purchase,Residential,1,77.11%,67.78%,80.82%,10.00%,3558.33,0.10%,0.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Very Experienced,B+,14,10
1127,Refinance,Commercial,1,40.00%,15.89%,125.93%,11.00%,15583.33,1.75%,1.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Very Experienced,A+,7,1
1128,Purchase,Residential,2,69.80%,66.00%,72.96%,9.00%,3217.5,1.00%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Very Experienced,A,11,1
1129,Purchase,Residential,2,74.32%,63.61%,88.83%,9.00%,3697.5,1.00%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Very Experienced,A,11,1
1130,Refinance,Multi-Family,13,70.00%,70.00%,0.00%,13.00%,18730.83,3.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1131,Purchase,Residential,1,52.80%,57.00%,79.72%,13.00%,1235,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,1
1132,Purchase,Residential,2,52.00%,0.00%,80.03%,9.50%,7821.67,1.00%,0.00%,Urban,Moderate,Stabilized,No,700-759,Good,< $10 Million,Very Experienced,A+,7,1
1133,Purchase,Residential,2,74.00%,53.93%,85.31%,13.00%,1635.83,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A,9,1
1134,Purchase,Residential,2,84.17%,66.90%,85.13%,10.00%,1616.67,2.50%,0.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Very Experienced,A-,12,1
1135,Purchase,Residential,2,85.00%,63.00%,85.17%,10.00%,1575,2.50%,0.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Very Experienced,A-,12,1
1136,Refinance,Commercial,8,66.67%,57.70%,94.68%,11.00%,24594.17,3.00%,1.00%,Urban,Moderate,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,10
1137,Purchase,Residential,2,56.00%,47.37%,59.92%,9.00%,3375,1.00%,0.25%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,12,1
1138,Purchase,Residential,1,77.70%,66.18%,46.16%,9.00%,4095,1.00%,0.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,1
1139,Refinance,Multi-Family,14,70.00%,0.00%,100.00%,13.00%,20171.67,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,7
1140,Refinance,Multi-Family,9,71.45%,0.00%,100.00%,7.50%,7681.25,3.00%,0.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1141,Refinance,Multi-Family,13,70.00%,70.00%,100.00%,13.00%,19413.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1142,Refinance,Residential,3,70.00%,64.67%,81.05%,9.75%,19256.25,1.00%,0.00%,Urban,Low,Value-Add,No,760-850,Excellent,< $10 Million,No Experience,B+,15,1
1143,Refinance,Multi-Family,21,70.00%,65.00%,77.27%,10.75%,5822.92,2.00%,1.25%,Urban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,Very Experienced,A-,12,11
1144,Refinance,Land,0,39.62%,65.21%,83.86%,11.75%,12386.46,1.79%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,10
1145,Refinance,Land,0,39.62%,65.21%,13.92%,11.75%,12386.46,1.79%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,10
1146,Refinance,Land,0,39.62%,65.21%,39.62%,11.75%,12386.46,1.79%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,10
1147,Refinance,Land,0,39.62%,65.21%,13.92%,11.75%,12386.46,1.79%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,10
1148,Refinance,Land,0,39.62%,65.21%,13.92%,11.75%,12386.46,1.79%,1.00%,Urban,Low,Ground Up,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,10
1149,Refinance,Multi-Family,10,62.31%,57.78%,73.40%,10.00%,4825,2.00%,0.50%,Urban,Hign,Value-Add,Yes,700-759,Good,< $10 Million,Very Experienced,A,8,1
1150,Purchase,Residential,1,75.29%,61.02%,80.00%,9.15%,2745,1.50%,0.40%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Experienced,B+,15,1
1151,Purchase,Multi-Family,22,71.64%,0.00%,75.05%,8.25%,5417.5,2.00%,0.00%,Suburban,Hign,Stabilized,No,760-850,Excellent,< $10 Million,Experienced,A+,7,1
1152,Purchase,Residential,2,75.95%,67.79%,84.18%,9.00%,2872.5,2.00%,0.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
1153,Purchase,Multi-Family,8,78.43%,66.67%,76.67%,8.75%,8385.42,0.54%,0.00%,Urban,Hign,Value-Add,No,760-850,Excellent,< $10 Million,Very Experienced,A,8,1
1154,Purchase,Residential,3,76.57%,69.76%,72.80%,9.00%,4395,1.00%,0.25%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Experienced,A,11,1
1155,Purchase,Residential,3,75.00%,67.24%,83.97%,9.00%,7312.5,1.00%,0.00%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Very Experienced,A,11,1
1156,Purchase,Residential,1,80.00%,66.09%,82.61%,9.00%,2850,2.00%,0.25%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Experienced,A,11,1
1157,Purchase,Residential,1,61.80%,0.00%,80.00%,9.00%,2700,2.00%,0.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Experienced,B-,17,1
1158,Purchase,Mixed Use,3,60.80%,57.05%,73.42%,9.50%,14566.67,1.00%,1.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,15,1
1159,Purchase,Residential,2,39.17%,43.78%,56.29%,8.25%,1354.38,0.10%,0.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Experienced,A,11,3
1160,Purchase,Residential,3,38.33%,38.85%,55.63%,8.25%,1629.38,0.10%,0.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Experienced,A,11,1
1161,Refinance(CEMA),Commercial,1,47.37%,62.95%,76.14%,12.00%,11960,1.58%,1.00%,Suburban,Low,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,A,11,1
1162,Purchase,Residential,2,82.63%,68.77%,82.87%,8.50%,5723.33,1.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,1
1163,Purchase,Residential,1,68.00%,49.41%,76.74%,9.50%,3325,2.25%,0.25%,Suburban,Low,Value-Add,Yes,620-649,Very Poor,< $10 Million,Very Experienced,B+,14,3
1164,Refinance,Multi-Family,10,68.59%,0.00%,100.00%,13.00%,14787.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,3,1
1165,Refinance,Mixed Use,3,70.00%,42.00%,96.81%,10.25%,1793.75,4.00%,0.00%,Urban,Low,Stabilized,No,650-679,Low Acceptable,< $10 Million,Experienced,B+,14,1
1166,Refinance,Residential,1,70.00%,0.00%,100.00%,13.00%,8872.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1167,Purchase,Residential,2,84.90%,63.67%,84.95%,8.50%,8117.5,1.00%,0.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,13,1
1168,Refinance,Residential,2,75.08%,0.00%,100.00%,13.00%,2643.33,3.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1169,Refinance,Multi-Family,13,69.07%,69.07%,100.00%,13.00%,19229.17,3.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1170,Purchase,Multi-Family,16,66.75%,63.80%,75.95%,9.88%,5250.21,1.50%,0.00%,Suburban,Hign,Value-Add,No,760-850,Excellent,$10-40 Million,Experienced,A,9,1
1171,Purchase,Residential,1,72.00%,64.00%,80.00%,9.50%,2533.33,2.00%,0.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,New to Market/Phase,C+,18,1
1172,Purchase,Residential,2,79.40%,58.27%,83.92%,9.25%,3368.54,1.50%,0.25%,Urban,Low,Value-Add,No,650-679,Low Acceptable,$10-40 Million,Experienced,B+,14,10
1173,Refinance,Residential,2,61.33%,61.03%,141.60%,13.00%,1917.5,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
1174,Refinance,Residential,1,30.77%,0.00%,86.96%,9.75%,812.5,4.00%,0.00%,Suburban,Low,Stabilized,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,A-,13,1
1175,Purchase,Residential,1,60.82%,58.25%,85.79%,9.00%,1245,2.00%,0.00%,Suburban,Low,Value-Add,Yes,620-649,Very Poor,< $10 Million,Moderate Experience,B-,17,1
1176,Purchase,Residential,1,77.53%,60.71%,83.68%,9.50%,2715.42,2.00%,0.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$200 Million +,Very Experienced,A+,7,1
1177,Purchase,Residential,2,68.97%,51.61%,72.73%,13.00%,1733.33,3.00%,2.00%,Urban,Moderate,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1178,Purchase,Residential,2,79.11%,65.14%,76.64%,9.25%,3515,1.25%,0.00%,Urban,Hign,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,1
1179,Purchase,Residential,1,78.32%,36.65%,44.61%,9.00%,2790,1.75%,0.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,1
1180,Refinance,Residential,2,66.98%,0.00%,222.11%,13.00%,2285.83,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,3,1
1181,Refinance,Residential,2,75.33%,64.21%,210.77%,13.00%,1982.5,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
1182,Purchase,Residential,1,74.78%,0.00%,67.48%,9.00%,1290,2.00%,0.00%,Suburban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Experienced,B+,14,1
1183,Purchase,Mixed Use,2,79.34%,0.00%,72.07%,9.50%,3800,1.50%,0.00%,Urban,Low,Stabilized,Yes,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
1184,Refinance,Multi-Family,15,70.02%,0.00%,177.76%,13.00%,22338.33,3.00%,2.00%,Urban,Low,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
1185,Refinance(CEMA),Multi-Family,10,67.12%,47.57%,343.43%,10.00%,20416.67,1.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,< $10 Million,Experienced,A,11,1
1186,Refinance,Mixed Use,3,70.00%,0.00%,99.17%,10.50%,5206.25,4.00%,1.00%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,10,1
1187,Refinance,Multi-Family,12,69.85%,0.00%,158.19%,13.00%,18200,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1188,Purchase,Residential,1,76.67%,67.29%,77.93%,9.00%,4845,1.00%,0.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Very Experienced,A,10,1
1189,Purchase,Multi-Family,6,70.77%,61.91%,79.15%,9.50%,14139.17,1.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,11,2
1190,Purchase,Mixed Use,9,62.50%,0.00%,75.00%,11.00%,2750,2.00%,0.00%,Suburban,Hign,Stabilized,Yes,680-699,High Acceptable,< $10 Million,New to Market/Phase,A-,13,1
1191,Purchase,Residential,2,73.14%,56.72%,84.39%,13.00%,1874.17,3.00%,2.00%,Urban,Moderate,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,6,1
1192,Purchase,Residential,1,74.81%,0.00%,75.03%,9.00%,9397.5,1.00%,0.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,7,1
1193,Purchase,Residential,1,78.00%,66.17%,80.00%,9.00%,1650,1.00%,0.25%,Suburban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,B+,15,3
1194,Purchase,Residential,1,77.21%,0.00%,80.00%,9.00%,2490,1.00%,0.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Experienced,B,16,1
1195,Purchase,Residential,1,20.83%,0.00%,20.83%,9.50%,1979.17,2.00%,0.00%,Suburban,Low,Stabilized,No,700-759,Good,< $10 Million,Experienced,A,10,1
1196,Refinance,Multi-Family,14,70.02%,0.00%,589.69%,13.00%,20442.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1197,Purchase,Mixed Use,3,79.07%,65.79%,75.76%,9.50%,3958.33,2.00%,0.25%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Experienced,B+,15,5
1198,Refinance,Multi-Family,12,70.00%,0.00%,1047.79%,13.00%,17972.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1199,Refinance,Multi-Family,14,70.02%,0.00%,523.66%,13.00%,20139.17,3.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1200,Refinance,Multi-Family,14,70.02%,0.00%,759.75%,13.00%,20897.5,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1201,Refinance,Multi-Family,15,70.00%,0.00%,893.75%,13.00%,21688.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,7
1202,Refinance,Land,0,70.00%,56.94%,120.59%,13.00%,2220.83,3.00%,2.00%,Urban,Low,Ground Up,Yes,700-759,Good,$200 Million +,Very Experienced,A,8,1
1203,Refinance,Residential,4,37.74%,64.66%,112.78%,9.50%,14843.75,1.25%,0.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Experienced,A,8,10
1204,Purchase,Multi-Family,8,65.64%,55.00%,80.46%,9.00%,10972.5,2.00%,0.00%,Urban,Moderate,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A,10,2
1205,Purchase,Residential,3,75.10%,71.04%,70.77%,9.00%,6900,3.00%,0.00%,Urban,Moderate,Value-Add,No,700-759,Good,< $10 Million,Experienced,A-,12,1
1206,Refinance,Residential,1,75.29%,0.00%,103.23%,9.50%,2533.33,2.00%,0.00%,Urban,Hign,Stabilized,No,760-850,Excellent,< $10 Million,New to Market/Phase,A,11,3
1207,Refinance,Residential,1,75.34%,0.00%,114.58%,9.50%,2177.08,2.00%,0.00%,Urban,Hign,Stabilized,No,760-850,Excellent,< $10 Million,New to Market/Phase,A,11,1
1208,Purchase,Mixed Use,3,52.50%,54.59%,79.90%,10.50%,4060,4.00%,0.00%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,8,1
1209,Purchase,Residential,3,74.80%,65.79%,86.21%,8.50%,8854.17,1.00%,0.00%,Urban,Moderate,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A-,13,1
1210,Purchase,Residential,1,73.44%,68.12%,64.56%,9.25%,1811.46,3.25%,0.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
1211,Refinance,Multi-Family,13,32.14%,42.37%,51.08%,10.00%,10416.67,2.00%,0.00%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,A,11,1
1212,Refinance,Residential,2,75.00%,67.27%,92.50%,13.00%,2405,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
1213,Purchase,Mixed Use,3,72.41%,62.81%,79.48%,9.50%,3182.5,2.00%,0.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Very Experienced,A-,13,5
1214,Purchase,Residential,1,77.42%,0.00%,80.00%,9.50%,1520,2.00%,0.00%,Suburban,Low,Value-Add,No,760-850,Excellent,< $10 Million,New to Market/Phase,B+,15,1
1215,Refinance,Mixed Use,62,50.00%,14.58%,23.85%,13.00%,20854.17,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1216,Refinance,Multi-Family,12,75.00%,0.00%,79.41%,9.95%,11193.75,1.00%,0.70%,Urban,Hign,Stabilized,No,700-759,Good,$10-40 Million,Moderate Experience,A,10,1
1217,Refinance,Residential,1,66.09%,0.00%,190.00%,9.00%,14250,2.00%,0.00%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Very Experienced,A,8,7
1218,Refinance,Multi-Family,6,70.00%,66.67%,100.00%,13.00%,7583.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
1219,Refinance,Multi-Family,6,70.00%,66.67%,100.00%,13.00%,7583.33,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,7,1
1220,Purchase,Residential,1,74.78%,74.78%,77.88%,9.00%,1290,2.00%,0.00%,Suburban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Experienced,B+,14,1
1221,Refinance,Multi-Family,27,26.67%,64.90%,93.03%,13.00%,34450,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1222,Refinance,Residential,1,54.00%,60.00%,76.01%,9.00%,1350,1.00%,0.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
1223,Purchase,Residential,1,76.31%,0.00%,79.74%,8.99%,1857.93,1.00%,0.00%,Suburban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Experienced,B+,14,1
1224,Refinance(CEMA),Multi-Family,8,75.03%,64.94%,95.95%,10.00%,21566.67,1.25%,0.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A-,13,5
1225,Purchase,Residential,4,80.12%,65.45%,64.29%,8.50%,5100,1.75%,0.00%,Suburban,Hign,Stabilized,Yes,680-699,High Acceptable,< $10 Million,Very Experienced,A,11,1
1226,Refinance(CEMA),Residential,1,70.00%,0.00%,89.36%,10.50%,3675,3.50%,0.00%,Suburban,Hign,Stabilized,No,700-759,Good,< $10 Million,Moderate Experience,A-,12,10
1227,Refinance,Multi-Family,26,70.00%,0.00%,288.24%,8.25%,8421.88,2.00%,0.00%,Urban,Moderate,Stabilized,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,14,1
1228,Purchase,Residential,1,75.00%,0.00%,75.00%,8.50%,1062.5,3.99%,0.25%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Experienced,B+,14,1
1229,Purchase,Residential,1,59.66%,51.52%,80.00%,9.50%,2691.67,1.75%,0.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Experienced,B+,15,1
1230,Refinance,Residential,2,70.00%,32.12%,60.26%,9.00%,2047.5,2.00%,0.00%,Urban,Low,Value-Add,Yes,700-759,Good,< $10 Million,Moderate Experience,B+,14,1
1231,Purchase,Residential,1,80.00%,63.73%,72.52%,8.50%,14896.25,1.25%,0.25%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B,16,1
1232,Purchase,Multi-Family,6,52.15%,0.00%,80.00%,9.50%,10196.67,1.00%,0.50%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,8,1
1233,Purchase,Residential,2,84.11%,69.29%,77.41%,9.00%,3637.5,1.00%,0.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A-,13,1
1234,Refinance(CEMA),Multi-Family,8,65.00%,0.00%,139.75%,9.25%,21544.79,1.00%,0.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,A-,13,1
1235,Purchase,Residential,1,80.00%,62.32%,69.63%,9.00%,2220,1.00%,0.25%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Experienced,B+,15,1
1236,Purchase,Mixed Use,3,78.67%,66.33%,70.53%,10.25%,5099.38,2.00%,0.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Very Experienced,A,11,5
1237,Refinance,Mixed Use,27,70.00%,65.20%,65.06%,10.00%,19016.67,2.00%,0.50%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
1238,Refinance,Residential,2,70.00%,0.00%,100.00%,13.00%,3033.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1239,Refinance,Residential,2,70.00%,0.00%,100.00%,13.00%,3033.33,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1240,Refinance,Multi-Family,40,52.38%,52.50%,80.02%,13.00%,45500,3.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1241,Purchase,Residential,2,75.58%,66.00%,74.16%,9.00%,2475,2.00%,0.25%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Moderate Experience,B+,15,1
1242,Refinance,Residential,2,70.13%,0.00%,100.00%,13.00%,3000.83,3.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,4,1
1243,Refinance,Residential,2,70.00%,0.00%,100.00%,13.00%,3033.33,3.00%,2.00%,Urban,Moderate,Stabilized,Yes,700-759,Good,$200 Million +,Very Experienced,A+,5,1
1244,Purchase,Residential,1,54.15%,40.88%,80.87%,9.75%,1511.25,2.50%,0.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,New to Market/Phase,B+,14,1
1245,Purchase,Residential,1,76.19%,68.24%,80.00%,9.00%,2610,2.50%,0.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,New to Market/Phase,B-,17,1
1246,Purchase,Residential,4,66.36%,0.00%,74.81%,8.75%,1050,2.50%,0.00%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Moderate Experience,A,10,1
